rating_loop.thisRepN,rating_loop.thisTrialN,rating_loop.thisN,rating_loop.thisIndex,thisRow.t,notes,WelcomeScreen.started,WelcomeScreen.stopped,trial.started,trial.stopped,sliderRating.response,slider_stop.response,temperature_PT,contact_force,sliderRating.markerPos,GoodbyScreen.started,text.started,GoodbyScreen.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
23,0,23,0,2024-11-18_17:36:39.716513,,,,49.19121120031923,50.72507750056684,None,None,37.7,9.6,None,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
24,0,24,0,2024-11-18_17:36:41.717241,,,,51.190984500572085,52.72727630008012,None,None,37.5,9.6,None,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
25,0,25,0,2024-11-18_17:36:43.711867,,,,53.19261710066348,54.72794630005956,None,None,37.300000000000004,8.7,None,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
26,0,26,0,2024-11-18_17:36:45.720864,,,,55.19452950078994,56.72525850031525,None,None,37.2,7.0,None,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
27,0,27,0,2024-11-18_17:36:47.709929,,,,57.1902792006731,58.72433550003916,None,None,37.0,7.1,None,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
28,0,28,0,2024-11-18_17:36:49.710968,,,,59.19007430039346,60.724021000787616,None,None,36.800000000000004,7.1,None,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
29,0,29,0,2024-11-18_17:36:51.708453,,,,61.189267800189555,62.72406420018524,None,None,36.6,6.9,None,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
30,0,30,0,2024-11-18_17:36:53.707349,,,,63.188444999977946,64.7246591001749,None,None,36.4,7.0,None,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
31,0,31,0,2024-11-18_17:36:55.710414,,,,65.19125360064209,66.72419540025294,None,None,36.1,7.0,None,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
32,0,32,0,2024-11-18_17:36:57.709206,,,,67.18922720011324,68.72433250024915,None,None,36.0,7.2,None,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
33,0,33,0,2024-11-18_17:36:59.707915,,,,69.18975220061839,70.72499280050397,None,None,35.800000000000004,7.0,None,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
34,0,34,0,2024-11-18_17:37:01.710536,,,,71.19059790018946,72.72468950040638,None,None,35.6,7.2,None,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
35,0,35,0,2024-11-18_17:37:03.711927,,,,73.19016350060701,74.72565010003746,None,None,35.4,7.6,None,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
36,0,36,0,2024-11-18_17:37:05.714640,,,,75.19209550041705,76.72445270046592,None,None,35.2,7.2,None,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
37,0,37,0,2024-11-18_17:37:07.708018,,,,77.18968380056322,78.72430820018053,None,None,35.0,7.9,None,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
38,0,38,0,2024-11-18_17:37:09.715076,,,,79.1902989000082,80.7236887998879,None,None,34.9,9.6,None,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
39,0,39,0,2024-11-18_17:37:11.707073,,,,81.18871610052884,82.72405270021409,None,None,34.800000000000004,8.5,None,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
