rating_loop.thisRepN,rating_loop.thisTrialN,rating_loop.thisN,rating_loop.thisIndex,thisRow.t,notes,WelcomeScreen.started,WelcomeScreen.stopped,trial.started,trial.stopped,sliderRating.response,slider_stop.response,temperature_PT,contact_force,sliderRating.markerPos,GoodbyScreen.started,text.started,GoodbyScreen.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
154,0,154,0,2024-11-18_17:30:09.579306,,,,313.74868550058454,315.28267380036414,None,None,44.5,30.5,72.0,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
155,0,155,0,2024-11-18_17:30:11.576440,,,,315.7467656005174,317.28231870010495,None,None,44.7,30.1,75.0,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
156,0,156,0,2024-11-18_17:30:13.578855,,,,317.74616339989007,319.2803778005764,None,None,44.800000000000004,29.7,77.0,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
157,0,157,0,2024-11-18_17:30:15.576923,,,,319.7447557998821,321.28124359995127,None,None,45.0,29.8,79.0,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
158,0,158,0,2024-11-18_17:30:17.578713,,,,321.74646120052785,323.2819122001529,None,None,45.2,30.1,81.0,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
159,0,159,0,2024-11-18_17:30:19.577104,,,,323.74652350042015,325.2815461996943,None,None,45.300000000000004,30.0,83.0,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
160,0,160,0,2024-11-18_17:30:21.579967,,,,325.7467644000426,327.2814049003646,None,None,45.5,29.7,84.0,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
161,0,161,0,2024-11-18_17:30:23.576507,,,,327.7466377997771,329.28209310024977,None,None,45.6,29.8,85.0,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
162,0,162,0,2024-11-18_17:30:25.580121,,,,329.7480439003557,331.27970529999584,None,None,45.800000000000004,29.8,86.0,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
163,0,163,0,2024-11-18_17:30:27.577687,,,,331.746625199914,333.28154680039734,None,None,45.900000000000006,29.5,87.0,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
164,0,164,0,2024-11-18_17:30:29.579784,,,,333.7479038005695,335.28050180058926,None,None,46.1,29.6,88.0,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
165,0,165,0,2024-11-18_17:30:31.580696,,,,335.7473536999896,337.28055980056524,None,None,46.2,29.4,90.0,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
166,0,166,0,2024-11-18_17:30:33.577453,,,,337.7461091997102,339.280835499987,None,None,46.400000000000006,28.5,91.0,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
167,0,167,0,2024-11-18_17:30:35.577423,,,,339.74643039982766,341.27941079996526,None,None,46.5,26.0,92.0,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
168,0,168,0,2024-11-18_17:30:37.576938,,,,341.74485290050507,343.2813975000754,95.0,None,46.7,1.0,95.0,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
169,0,169,0,2024-11-18_17:30:39.580176,,,,343.74718379974365,345.28251990024,None,None,46.800000000000004,1.0,None,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
170,0,170,0,2024-11-18_17:30:41.576233,,,,345.74800860043615,347.28329070005566,None,None,47.0,0.9,None,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
171,0,171,0,2024-11-18_17:30:43.581644,,,,347.7488216999918,349.28572560008615,None,None,47.1,0.9,None,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
172,0,172,0,2024-11-18_17:30:45.576767,,,,349.7498470004648,351.28413979988545,None,None,47.300000000000004,0.9,None,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
173,0,173,0,2024-11-18_17:30:47.578301,,,,351.748625700362,353.28440309967846,None,None,47.5,0.9,None,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
174,0,174,0,2024-11-18_17:30:49.579976,,,,353.7504035998136,355.2841114997864,None,None,47.6,0.9,None,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
175,0,175,0,2024-11-18_17:30:51.579936,,,,355.75054679997265,357.2804872998968,None,None,47.800000000000004,0.9,None,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
176,0,176,0,2024-11-18_17:30:53.574009,,,,357.74465680029243,359.2832653997466,None,None,47.900000000000006,0.9,None,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
177,0,177,0,2024-11-18_17:30:55.577809,,,,359.7486198004335,361.28078920021653,None,None,48.0,0.9,None,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
178,0,178,0,2024-11-18_17:30:57.579261,,,,361.74637440033257,363.28213530033827,None,None,48.1,0.9,None,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
179,0,179,0,2024-11-18_17:30:59.574484,,,,363.74641770031303,365.2829788001254,None,None,48.2,0.9,None,,,,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
,,,,,,,,,,,,,,,365.74625399988145,365.75166700035334,375.27487770002335,97,1,2024-11-18_17h24.28.806,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h24.55.819375 +0100
